claim_id,claim_text,true_label,raw_evidence,gold_evidence,example_id,claim,gold_label,model,condition,model_output,correct,error_type,notes
146399,Black Canary is a character in works published by an American comic book publisher.,Supported,"[[[292310,285116,""Black_Canary"",0],[292310,285116,""DC_Comics"",0]],[[294314,286649,""Black_Canary"",0],[294314,286649,""DC_Comics"",0]],[[294931,287154,""Black_Canary"",0]],[[294931,287155,""Black_Canary"",1]],[[294931,287156,""Black_Canary"",2]],[[339912,324732,""Black_Canary"",0],[339912,324732,""DC_Comics"",0]],[[339914,324734,""Black_Canary"",0]],[[339922,324739,""Black_Canary"",0],[339922,324739,""DC_Comics"",0]]]",,146399,Black Canary is a character in works published by an American comic book publisher.,Supported,,,,,,
4090,Zac Efron's middle names are David and Alexander.,Supported,"[[[20317,24874,""Zac_Efron"",0]]]",,4090,Zac Efron's middle names are David and Alexander.,Supported,,,,,,
66801,Cheese in the Trap (TV series) stars Batman.,Refuted,"[[[83368,95332,""Cheese_in_the_Trap_-LRB-TV_series-RRB-"",0]]]",,66801,Cheese in the Trap (TV series) stars Batman.,Refuted,,,,,,
228341,Island Records was founded in 1960.,Refuted,"[[[272455,268148,""Island_Records"",1]]]",,228341,Island Records was founded in 1960.,Refuted,,,,,,
206730,Samwell Tarly appears in The Lord of the Rings series.,Refuted,"[[[244445,245452,""Samwell_Tarly"",0]]]",,206730,Samwell Tarly appears in The Lord of the Rings series.,Refuted,,,,,,
91508,Talulah Riley makes an appearance in The Boat That Rocked.,Supported,"[[[108848,122551,""Talulah_Riley"",1]]]",,91508,Talulah Riley makes an appearance in The Boat That Rocked.,Supported,,,,,,
194793,Fortunes of War has only ever starred Kenneth Branagh.,Refuted,"[[[228216,232457,""Fortunes_of_War_-LRB-TV_series-RRB-"",1]],[[228232,232467,""Fortunes_of_War_-LRB-TV_series-RRB-"",1]]]",,194793,Fortunes of War has only ever starred Kenneth Branagh.,Refuted,,,,,,
181598,WGBH-TV is located in New England.,Supported,"[[[210868,218531,""WGBH-TV"",0]],[[210869,218532,""WGBH-TV"",0]]]",,181598,WGBH-TV is located in New England.,Supported,,,,,,
128415,A View to a Kill is the second James Bond film to be directed by John Glen.,Refuted,"[[[150444,165331,""A_View_to_a_Kill"",6]]]",,128415,A View to a Kill is the second James Bond film to be directed by John Glen.,Refuted,,,,,,
34227,Eric Church is a songwriter.,Supported,"[[[50346,59935,""Eric_Church"",0]]]",,34227,Eric Church is a songwriter.,Supported,,,,,,
34034,Byron Howard co-directed Zootopia with Jill Stein.,Refuted,"[[[50160,59688,""Byron_Howard"",1],[50160,59688,""Zootopia"",0],[50160,59688,""Zootopia"",2]],[[50160,59689,""Byron_Howard"",2],[50160,59689,""Zootopia"",2]]]",,34034,Byron Howard co-directed Zootopia with Jill Stein.,Refuted,,,,,,
76594,Marjorie Gross is illiterate.,Refuted,"[[[93460,106412,""Marjorie_Gross"",0]],[[93460,106413,""Marjorie_Gross"",1]]]",,76594,Marjorie Gross is illiterate.,Refuted,,,,,,
105813,"Alexandra Daddario was born on March 22, 1986.",Refuted,"[[[279484,274095,""Alexandra_Daddario"",0]],[[281207,275613,""Alexandra_Daddario"",0]],[[283309,277361,""Alexandra_Daddario"",0]],[[327807,315014,""Alexandra_Daddario"",0]],[[328839,315815,""Alexandra_Daddario"",0]]]",,105813,"Alexandra Daddario was born on March 22, 1986.",Refuted,,,,,,
202460,Tinker Tailor Soldier Spy is only a TV show.,Refuted,"[[[238550,240549,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",0]],[[238550,240550,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",1]],[[238550,240551,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",2]],[[238550,240552,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",5]],[[238550,240553,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",6]],[[238550,240554,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",7]],[[238550,240555,""Tinker_Tailor_Soldier_Spy_-LRB-film-RRB-"",8]]]",,202460,Tinker Tailor Soldier Spy is only a TV show.,Refuted,,,,,,
117001,Victor Frankenstein is based on contemporary adaptations Pride and Prejudice.,Refuted,"[[[137371,152219,""Victor_Frankenstein_-LRB-film-RRB-"",0]]]",,117001,Victor Frankenstein is based on contemporary adaptations Pride and Prejudice.,Refuted,,,,,,
101042,Augustus died in 14 AD from natural causes.,Supported,"[[[118769,132606,""Augustus"",10],[118769,132606,""Augustus"",42]],[[118769,132607,""Augustus"",41],[118769,132607,""Augustus"",42]]]",,101042,Augustus died in 14 AD from natural causes.,Supported,,,,,,
132775,Knocked Up was released on Mars.,Refuted,"[[[155216,169911,""Knocked_Up"",0]]]",,132775,Knocked Up was released on Mars.,Refuted,,,,,,
206023,The Office (US) is the highest grossing show when released.,Refuted,"[[[243495,244705,""The_Office_-LRB-U.S._TV_series-RRB-"",13]]]",,206023,The Office (US) is the highest grossing show when released.,Refuted,,,,,,
223271,Mary McGee was the first woman to compete in the Baja 1000.,Supported,"[[[265944,263058,""Baja_1000"",14]]]",,223271,Mary McGee was the first woman to compete in the Baja 1000.,Supported,,,,,,
111993,Daag is a movie.,Supported,"[[[131467,146244,""Daag_-LRB-1973_film-RRB-"",0]],[[131467,146245,""Daag_-LRB-1973_film-RRB-"",5]],[[131467,146247,""Daag_-LRB-1973_film-RRB-"",2]],[[131467,146248,""Daag_-LRB-1973_film-RRB-"",10]],[[131467,146249,""Daag_-LRB-1973_film-RRB-"",8]]]",,111993,Daag is a movie.,Supported,,,,,,
9023,Henry III assumed the throne in the middle of the First Barons' War.,Supported,"[[[14557,18172,""Henry_III_of_England"",1]]]",,9023,Henry III assumed the throne in the middle of the First Barons' War.,Supported,,,,,,
154917,"Gotham premiered on September 22, 2014.",Supported,"[[[295963,287945,""Gotham_-LRB-TV_series-RRB-"",7]],[[295964,287946,""Gotham_-LRB-TV_series-RRB-"",7]],[[297470,289124,""Gotham_-LRB-TV_series-RRB-"",7]],[[341949,326187,""Gotham_-LRB-TV_series-RRB-"",7]],[[341950,326188,""Gotham_-LRB-TV_series-RRB-"",7]],[[341951,326189,""Gotham_-LRB-TV_series-RRB-"",7]],[[341952,326190,""Gotham_-LRB-TV_series-RRB-"",7]],[[341953,326191,""Gotham_-LRB-TV_series-RRB-"",7]]]",,154917,"Gotham premiered on September 22, 2014.",Supported,,,,,,
7257,Hermit crabs are crustaceans in the superfamily Paguroidea.,Supported,"[[[11787,14784,""Hermit_crab"",0]]]",,7257,Hermit crabs are crustaceans in the superfamily Paguroidea.,Supported,,,,,,
204545,Commodore is used in many navies.,Supported,"[[[241545,243067,""Commodore_-LRB-rank-RRB-"",0]]]",,204545,Commodore is used in many navies.,Supported,,,,,,
90080,Terry Crews played on the Los Angeles Rams in 1996.,Refuted,"[[[27596,33799,""Terry_Crews"",9],[27596,33799,""Los_Angeles_Rams"",14]]]",,90080,Terry Crews played on the Los Angeles Rams in 1996.,Refuted,,,,,,
14596,"GLOW has one season which was released on Netflix on June 23, 2017.",Supported,"[[[29881,36430,""GLOW_-LRB-TV_series-RRB-"",3]]]",,14596,"GLOW has one season which was released on Netflix on June 23, 2017.",Supported,,,,,,
90359,Danger UXB is a British television series.,Supported,"[[[107685,121178,""Danger_UXB"",0]]]",,90359,Danger UXB is a British television series.,Supported,,,,,,
120000,A Good Day to Die Hard is separate from the Die Hard franchise.,Refuted,"[[[142753,157900,""A_Good_Day_to_Die_Hard"",0]]]",,120000,A Good Day to Die Hard is separate from the Die Hard franchise.,Refuted,,,,,,
112316,Ice-T signed to Sire Records.,Supported,"[[[131821,146674,""Ice-T"",1]],[[131822,146675,""Ice-T"",1]],[[131823,146676,""Ice-T"",1]],[[131824,146677,""Ice-T"",1]],[[131825,146678,""Ice-T"",1]],[[131826,146679,""Ice-T"",1]],[[131829,146681,""Ice-T"",1]],[[131830,146682,""Ice-T"",1]],[[131831,146683,""Ice-T"",1]],[[131832,146684,""Ice-T"",1]],[[131833,146685,""Ice-T"",1]],[[131834,146686,""Ice-T"",1]],[[131835,146687,""Ice-T"",1]],[[131836,146688,""Ice-T"",1]]]",,112316,Ice-T signed to Sire Records.,Supported,,,,,,
7105,Zac Efron is Somali.,Refuted,"[[[24019,29727,""Zac_Efron"",0]]]",,7105,Zac Efron is Somali.,Refuted,,,,,,
177858,Milk is a biographical film starring Sean Penn.,Supported,"[[[206147,214586,""Milk_-LRB-film-RRB-"",1]],[[206147,214587,""Milk_-LRB-film-RRB-"",0]]]",,177858,Milk is a biographical film starring Sean Penn.,Supported,,,,,,
31960,Pocahontas was from Maine.,Refuted,"[[[48085,57409,""Pocahontas"",0]],[[48085,57410,""Pocahontas"",1]]]",,31960,Pocahontas was from Maine.,Refuted,,,,,,
151846,Emma Watson is an Irish actress.,Refuted,"[[[175784,188758,""Emma_Watson"",0]]]",,151846,Emma Watson is an Irish actress.,Refuted,,,,,,
201114,Marcus Bentley is incapable of being a voice-over artist.,Refuted,"[[[236654,239083,""Marcus_Bentley"",0]],[[236662,239089,""Marcus_Bentley"",0]],[[236662,239090,""Marcus_Bentley"",3]]]",,201114,Marcus Bentley is incapable of being a voice-over artist.,Refuted,,,,,,
115788,There is a musician called John Frusciante.,Supported,"[[[135899,150729,""John_Frusciante"",0]],[[135899,150730,""John_Frusciante"",1]],[[135899,150731,""John_Frusciante"",5]]]",,115788,There is a musician called John Frusciante.,Supported,,,,,,
183447,Henry III of France was murdered.,Supported,"[[[213523,220748,""Henry_III_of_France"",23]]]",,183447,Henry III of France was murdered.,Supported,,,,,,
70840,B. R. Ambedkar was a politician.,Supported,"[[[87503,99973,""B._R._Ambedkar"",0]]]",,70840,B. R. Ambedkar was a politician.,Supported,,,,,,
161574,There is an epic historical romantic drama named Australia that is a Baz Luhrmann film.,Supported,"[[[186124,198033,""Baz_Luhrmann"",2]]]",,161574,There is an epic historical romantic drama named Australia that is a Baz Luhrmann film.,Supported,,,,,,
186008,Kyra Sedgwick has yet to have a role in a series.,Refuted,"[[[216894,223540,""Kyra_Sedgwick"",2]],[[216896,223542,""Kyra_Sedgwick"",1],[216896,223542,""The_Closer"",0]],[[216896,223543,""Kyra_Sedgwick"",2]],[[216896,223544,""Kyra_Sedgwick"",4],[216896,223544,""Brooklyn_Nine-Nine"",1]]]",,186008,Kyra Sedgwick has yet to have a role in a series.,Refuted,,,,,,
154919,Ron Underwood rejected all offers to direct The Adventures of Pluto Nash.,Refuted,"[[[178977,191514,""The_Adventures_of_Pluto_Nash"",0]]]",,154919,Ron Underwood rejected all offers to direct The Adventures of Pluto Nash.,Refuted,,,,,,
171600,"Syracuse, New York, had a metropolitan population of 600,000 in 2010.",Refuted,"[[[198023,207972,""Syracuse,_New_York"",2]]]",,171600,"Syracuse, New York, had a metropolitan population of 600,000 in 2010.",Refuted,,,,,,
75852,Youtube is unranked.,Refuted,"[[[92667,105474,""YouTube"",15]]]",,75852,Youtube is unranked.,Refuted,,,,,,
49869,Dopamine induces neuromodulation.,Supported,"[[[66189,77025,""Neuromodulation"",3]]]",,49869,Dopamine induces neuromodulation.,Supported,,,,,,
203181,There are zero Polynesian languages.,Refuted,"[[[239639,241406,""Polynesian_languages"",5]]]",,203181,There are zero Polynesian languages.,Refuted,,,,,,
172301,Scream 2 is a slasher film.,Supported,"[[[198869,208574,""Scream_2"",0]]]",,172301,Scream 2 is a slasher film.,Supported,,,,,,
105176,The Washington Wizards were the winners of four conference titles.,Supported,"[[[123487,137910,""Washington_Wizards"",12]]]",,105176,The Washington Wizards were the winners of four conference titles.,Supported,,,,,,
202773,Despicable Me 2 was produced by Illumination Entertainment in 2014.,Refuted,"[[[238987,240942,""Despicable_Me_2"",0]],[[238987,240943,""Despicable_Me_2"",9]],[[238987,240944,""Despicable_Me_2"",11]]]",,202773,Despicable Me 2 was produced by Illumination Entertainment in 2014.,Refuted,,,,,,
184295,Vera Wang's middle name is Jessica.,Refuted,"[[[214610,221599,""Vera_Wang"",0]]]",,184295,Vera Wang's middle name is Jessica.,Refuted,,,,,,
224122,"Celebrity Rehab with Dr. Drew was set in Pasadena, Oregon.",Refuted,"[[[266997,263809,""Celebrity_Rehab_with_Dr._Drew"",0]]]",,224122,"Celebrity Rehab with Dr. Drew was set in Pasadena, Oregon.",Refuted,,,,,,
109701,2016 Tour de France was won by a rider.,Supported,"[[[130118,144853,""2016_Tour_de_France"",2]],[[130119,144854,""2016_Tour_de_France"",2]]]",,109701,2016 Tour de France was won by a rider.,Supported,,,,,,
91703,Fidaa is only a television show.,Refuted,"[[[275245,270415,""Fidaa"",0]],[[277125,272101,""Fidaa"",0]],[[277706,272648,""Fidaa"",0]],[[324289,312298,""Fidaa"",0]],[[324290,312299,""Fidaa"",0]],[[324294,312304,""Fidaa"",0]],[[324295,312305,""Fidaa"",0]]]",,91703,Fidaa is only a television show.,Refuted,,,,,,
43460,John Goodman is not an actor.,Refuted,"[[[59795,70202,""John_Goodman"",2],[59795,70202,""Raising_Arizona"",0],[59795,70202,""Barton_Fink"",1],[59795,70202,""The_Big_Lebowski"",0]],[[59795,70203,""John_Goodman"",3],[59795,70203,""Inside_Llewyn_Davis"",2]],[[59795,70204,""John_Goodman"",7],[59795,70204,""Extremely_Loud_&_Incredibly_Close_-LRB-film-RRB-"",1],[59795,70204,""Patriots_Day_-LRB-film-RRB-"",2],[59795,70204,""10_Cloverfield_Lane"",1],[59795,70204,""Argo_-LRB-2012_film-RRB-"",5]]]",,43460,John Goodman is not an actor.,Refuted,,,,,,
110011,Shannon Lee is not an actress.,Refuted,"[[[129092,143872,""Shannon_Lee"",0]]]",,110011,Shannon Lee is not an actress.,Refuted,,,,,,
22220,Miranda Otto is the mother of Lindsay Otto.,Refuted,"[[[38062,45989,""Miranda_Otto"",1]]]",,22220,Miranda Otto is the mother of Lindsay Otto.,Refuted,,,,,,
149160,Billboard Dad only stars men.,Refuted,"[[[172863,186113,""Billboard_Dad"",0]]]",,149160,Billboard Dad only stars men.,Refuted,,,,,,
123612,Eva Green made her film debut in a film directed by Robin Williams.,Refuted,"[[[286142,279679,""Eva_Green"",1],[286142,279679,""The_Dreamers_-LRB-film-RRB-"",0]],[[332912,319149,""Eva_Green"",1],[332912,319149,""The_Dreamers_-LRB-film-RRB-"",0]],[[332924,319158,""Eva_Green"",1],[332924,319158,""The_Dreamers_-LRB-film-RRB-"",0]],[[334427,320495,""Eva_Green"",1],[334427,320495,""The_Dreamers_-LRB-film-RRB-"",0]]]",,123612,Eva Green made her film debut in a film directed by Robin Williams.,Refuted,,,,,,
45574,Project Y's mission was prevent the first atomic bombs.,Refuted,"[[[61911,72394,""Project_Y"",1]]]",,45574,Project Y's mission was prevent the first atomic bombs.,Refuted,,,,,,
219200,Species distribution can be understood through many factors except glaciation.,Refuted,"[[[260779,259076,""Species_distribution"",14]]]",,219200,Species distribution can be understood through many factors except glaciation.,Refuted,,,,,,
167472,Cadet Kelly was a AMC Original.,Refuted,"[[[192752,203467,""Cadet_Kelly"",0]]]",,167472,Cadet Kelly was a AMC Original.,Refuted,,,,,,
151207,Cheese in the Trap (TV series) is a movie.,Refuted,"[[[175088,188145,""Cheese_in_the_Trap_-LRB-TV_series-RRB-"",0]]]",,151207,Cheese in the Trap (TV series) is a movie.,Refuted,,,,,,
