claim_id,true_label,seed,input_file
146399,Supported,42,shared_task_dev.jsonl
4090,Supported,42,shared_task_dev.jsonl
66801,Refuted,42,shared_task_dev.jsonl
228341,Refuted,42,shared_task_dev.jsonl
206730,Refuted,42,shared_task_dev.jsonl
91508,Supported,42,shared_task_dev.jsonl
194793,Refuted,42,shared_task_dev.jsonl
181598,Supported,42,shared_task_dev.jsonl
128415,Refuted,42,shared_task_dev.jsonl
34227,Supported,42,shared_task_dev.jsonl
34034,Refuted,42,shared_task_dev.jsonl
76594,Refuted,42,shared_task_dev.jsonl
105813,Refuted,42,shared_task_dev.jsonl
202460,Refuted,42,shared_task_dev.jsonl
117001,Refuted,42,shared_task_dev.jsonl
101042,Supported,42,shared_task_dev.jsonl
132775,Refuted,42,shared_task_dev.jsonl
206023,Refuted,42,shared_task_dev.jsonl
223271,Supported,42,shared_task_dev.jsonl
111993,Supported,42,shared_task_dev.jsonl
9023,Supported,42,shared_task_dev.jsonl
154917,Supported,42,shared_task_dev.jsonl
7257,Supported,42,shared_task_dev.jsonl
204545,Supported,42,shared_task_dev.jsonl
90080,Refuted,42,shared_task_dev.jsonl
14596,Supported,42,shared_task_dev.jsonl
90359,Supported,42,shared_task_dev.jsonl
120000,Refuted,42,shared_task_dev.jsonl
112316,Supported,42,shared_task_dev.jsonl
7105,Refuted,42,shared_task_dev.jsonl
177858,Supported,42,shared_task_dev.jsonl
31960,Refuted,42,shared_task_dev.jsonl
151846,Refuted,42,shared_task_dev.jsonl
201114,Refuted,42,shared_task_dev.jsonl
115788,Supported,42,shared_task_dev.jsonl
183447,Supported,42,shared_task_dev.jsonl
70840,Supported,42,shared_task_dev.jsonl
161574,Supported,42,shared_task_dev.jsonl
186008,Refuted,42,shared_task_dev.jsonl
154919,Refuted,42,shared_task_dev.jsonl
171600,Refuted,42,shared_task_dev.jsonl
75852,Refuted,42,shared_task_dev.jsonl
49869,Supported,42,shared_task_dev.jsonl
203181,Refuted,42,shared_task_dev.jsonl
172301,Supported,42,shared_task_dev.jsonl
105176,Supported,42,shared_task_dev.jsonl
202773,Refuted,42,shared_task_dev.jsonl
184295,Refuted,42,shared_task_dev.jsonl
224122,Refuted,42,shared_task_dev.jsonl
109701,Supported,42,shared_task_dev.jsonl
91703,Refuted,42,shared_task_dev.jsonl
43460,Refuted,42,shared_task_dev.jsonl
110011,Refuted,42,shared_task_dev.jsonl
22220,Refuted,42,shared_task_dev.jsonl
149160,Refuted,42,shared_task_dev.jsonl
123612,Refuted,42,shared_task_dev.jsonl
45574,Refuted,42,shared_task_dev.jsonl
219200,Refuted,42,shared_task_dev.jsonl
167472,Refuted,42,shared_task_dev.jsonl
151207,Refuted,42,shared_task_dev.jsonl
125803,Refuted,42,shared_task_dev.jsonl
132133,Refuted,42,shared_task_dev.jsonl
55538,Supported,42,shared_task_dev.jsonl
12682,Refuted,42,shared_task_dev.jsonl
209360,Refuted,42,shared_task_dev.jsonl
117056,Refuted,42,shared_task_dev.jsonl
11091,Refuted,42,shared_task_dev.jsonl
38678,Refuted,42,shared_task_dev.jsonl
44497,Refuted,42,shared_task_dev.jsonl
55295,Supported,42,shared_task_dev.jsonl
165702,Refuted,42,shared_task_dev.jsonl
173713,Supported,42,shared_task_dev.jsonl
4778,Supported,42,shared_task_dev.jsonl
114249,Supported,42,shared_task_dev.jsonl
194344,Refuted,42,shared_task_dev.jsonl
30122,Refuted,42,shared_task_dev.jsonl
71058,Refuted,42,shared_task_dev.jsonl
38255,Supported,42,shared_task_dev.jsonl
47785,Supported,42,shared_task_dev.jsonl
6079,Supported,42,shared_task_dev.jsonl
161222,Supported,42,shared_task_dev.jsonl
75393,Refuted,42,shared_task_dev.jsonl
99060,Refuted,42,shared_task_dev.jsonl
160050,Supported,42,shared_task_dev.jsonl
222768,Refuted,42,shared_task_dev.jsonl
4529,Supported,42,shared_task_dev.jsonl
168041,Refuted,42,shared_task_dev.jsonl
174606,Supported,42,shared_task_dev.jsonl
56735,Supported,42,shared_task_dev.jsonl
81301,Refuted,42,shared_task_dev.jsonl
155484,Supported,42,shared_task_dev.jsonl
46384,Supported,42,shared_task_dev.jsonl
178909,Refuted,42,shared_task_dev.jsonl
137094,Supported,42,shared_task_dev.jsonl
204643,Refuted,42,shared_task_dev.jsonl
207000,Refuted,42,shared_task_dev.jsonl
116711,Supported,42,shared_task_dev.jsonl
171622,Refuted,42,shared_task_dev.jsonl
73978,Supported,42,shared_task_dev.jsonl
85571,Supported,42,shared_task_dev.jsonl
225277,Refuted,42,shared_task_dev.jsonl
124862,Refuted,42,shared_task_dev.jsonl
108598,Supported,42,shared_task_dev.jsonl
206021,Supported,42,shared_task_dev.jsonl
185172,Refuted,42,shared_task_dev.jsonl
113098,Refuted,42,shared_task_dev.jsonl
102751,Refuted,42,shared_task_dev.jsonl
123285,Refuted,42,shared_task_dev.jsonl
184067,Refuted,42,shared_task_dev.jsonl
202027,Supported,42,shared_task_dev.jsonl
22186,Supported,42,shared_task_dev.jsonl
187783,Refuted,42,shared_task_dev.jsonl
116937,Supported,42,shared_task_dev.jsonl
59602,Supported,42,shared_task_dev.jsonl
14430,Refuted,42,shared_task_dev.jsonl
118943,Refuted,42,shared_task_dev.jsonl
10272,Refuted,42,shared_task_dev.jsonl
132294,Refuted,42,shared_task_dev.jsonl
137715,Refuted,42,shared_task_dev.jsonl
169984,Refuted,42,shared_task_dev.jsonl
35844,Refuted,42,shared_task_dev.jsonl
46911,Supported,42,shared_task_dev.jsonl
19098,Supported,42,shared_task_dev.jsonl
52186,Supported,42,shared_task_dev.jsonl
119132,Refuted,42,shared_task_dev.jsonl
6507,Supported,42,shared_task_dev.jsonl
220949,Supported,42,shared_task_dev.jsonl
41947,Refuted,42,shared_task_dev.jsonl
21187,Supported,42,shared_task_dev.jsonl
80863,Refuted,42,shared_task_dev.jsonl
24117,Supported,42,shared_task_dev.jsonl
18316,Refuted,42,shared_task_dev.jsonl
10312,Supported,42,shared_task_dev.jsonl
28656,Refuted,42,shared_task_dev.jsonl
172757,Refuted,42,shared_task_dev.jsonl
121683,Supported,42,shared_task_dev.jsonl
33374,Supported,42,shared_task_dev.jsonl
113688,Refuted,42,shared_task_dev.jsonl
178240,Refuted,42,shared_task_dev.jsonl
201365,Supported,42,shared_task_dev.jsonl
193558,Supported,42,shared_task_dev.jsonl
228088,Refuted,42,shared_task_dev.jsonl
203998,Supported,42,shared_task_dev.jsonl
143009,Refuted,42,shared_task_dev.jsonl
215874,Refuted,42,shared_task_dev.jsonl
108107,Refuted,42,shared_task_dev.jsonl
97113,Supported,42,shared_task_dev.jsonl
31813,Supported,42,shared_task_dev.jsonl
101883,Supported,42,shared_task_dev.jsonl
178223,Refuted,42,shared_task_dev.jsonl
116148,Supported,42,shared_task_dev.jsonl
186927,Supported,42,shared_task_dev.jsonl
32595,Supported,42,shared_task_dev.jsonl
41711,Supported,42,shared_task_dev.jsonl
49706,Supported,42,shared_task_dev.jsonl
64440,Refuted,42,shared_task_dev.jsonl
215272,Supported,42,shared_task_dev.jsonl
14227,Refuted,42,shared_task_dev.jsonl
226856,Refuted,42,shared_task_dev.jsonl
2466,Refuted,42,shared_task_dev.jsonl
9938,Supported,42,shared_task_dev.jsonl
192212,Refuted,42,shared_task_dev.jsonl
120190,Refuted,42,shared_task_dev.jsonl
